name,number,from,to,departure_time,arrival_time,price,duration_hours,link,
Akasa Air,AK6524,Kolkata,Kochi,04:45,06:51,7532,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK532,Delhi,Pune,14:30,17:48,8626,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP3489,Delhi,Chandigarh,23:30,01:24,5565,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP7752,Srinagar,Kolkata,09:15,10:51,6297,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP2260,Jaipur,Lucknow,00:15,02:21,7620,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN2955,Ahmedabad,Goa,13:30,16:36,9002,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK808,Kolkata,Guwahati,12:00,13:18,4747,1.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK974,Lucknow,Jaipur,12:30,15:06,7956,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI3274,Kolkata,Srinagar,02:00,05:12,8697,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK1030,Chandigarh,Jaipur,03:45,05:03,4777,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI3223,Hyderabad,Ahmedabad,17:30,20:42,11724,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK1001,Chandigarh,Srinagar,23:45,02:09,6280,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK6772,Hyderabad,Chennai,14:30,16:42,7992,2.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK8848,Delhi,Hyderabad,09:15,11:57,8461,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP3788,Ahmedabad,Bangalore,15:30,17:42,6105,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN8385,Srinagar,Hyderabad,08:30,11:18,8318,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP4995,Goa,Mumbai,04:00,05:12,3513,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK7295,Lucknow,Chandigarh,05:00,08:00,9015,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1835,Ahmedabad,Bangalore,19:15,20:21,3656,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP3504,Mumbai,Goa,21:45,23:15,5128,1.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI7613,Chandigarh,Ahmedabad,20:15,22:39,6264,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN8185,Delhi,Kolkata,12:30,13:36,2883,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI8964,Chennai,Mumbai,09:30,11:12,4923,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI8064,Chennai,Pune,08:00,09:42,5234,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI9322,Pune,Guwahati,18:45,19:51,4363,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI6395,Kolkata,Mumbai,03:00,04:24,3875,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
